"code","run_count","mn_dstn","imd","d_income","d_employment","d_education","d_health","d_crime","d_housing","d_enviroment","total_pop","perc_non_working_age","pop_density","perc_bme"
"E01013514",75,8.628,6.38,0.053,0.049,3.141,-0.18,-0.302,10.391,7.055,1592,0.396356783919598,4302.7,0.071078431372549
"E01013515",58,9.131,18.937,0.144,0.107,12.678,0.223,0.081,20.152,9.371,1794,0.430880713489409,2600,0.1357220412595
"E01013517",30,6.926,27.184,0.149,0.14,31.373,0.9,-0.085,26.545,6.516,1402,0.559914407988588,2804,0.0855539971949509
"E01013518",48,7.382,16.215,0.086,0.08,18.66,0.534,-0.098,15.711,16.03,1513,0.467944481163252,4450,0.0953389830508474
"E01013519",83,8.668,14.65,0.128,0.075,17.066,0.093,-0.2,15.112,2.671,1636,0.382640586797066,2371.01,0.121359223300971
"E01013520",153,8.098,4.724,0.035,0.037,3.698,-0.29,-1.09,18.941,5.194,1481,0.438217420661715,2742.59,0.0744125326370757
"E01013521",10,7.405,42.591,0.24,0.223,41.988,1.612,-0.32,27.695,8.879,1348,0.477744807121662,5184.62,0.075037147102526
"E01013522",102,1.288,37.958,0.196,0.142,35.275,1.53,0.924,20.105,32.215,1840,0.319565217391304,5111.11,0.129608294930876
"E01013523",87,2.091,33.652,0.193,0.152,29.955,1.174,0.435,25.866,21.555,1761,0.277115275411698,4095.35,0.103425985778927
"E01013524",104,1.688,27.32,0.124,0.066,27.924,1.431,0.569,28.974,23.571,2430,0.094238683127572,10565.22,0.148177813376051
"E01013525",175,2.336,22.352,0.125,0.101,9.327,0.478,0.14,28.384,33.277,2002,0.27972027972028,2176.09,0.0936555891238671
"E01013526",168,2.122,7.981,0.05,0.051,1.346,-0.275,-0.386,22.008,14.993,1525,0.477377049180328,876.44,0.0360248447204969
"E01013527",353,1.523,5.783,0.02,0.024,1.095,-0.534,0.402,14.208,17.94,1572,0.478371501272265,2911.11,0.0317670416942423
"E01013528",114,1.557,14.543,0.091,0.08,3.185,0.128,0.482,14.62,20.079,1690,0.411242603550296,5281.25,0.0825242718446602
"E01013529",262,0.992,14.391,0.102,0.059,4.686,0.365,-0.051,18.165,25.715,2421,0.414704667492772,3842.86,0.06731583403895
"E01013530",17,3.626,20.941,0.118,0.083,27.153,0.779,-0.295,23.634,14.745,1515,0.378217821782178,1306.03,0.0699346405228758
"E01013531",36,3.595,29.592,0.185,0.126,56.428,0.47,-0.296,23.648,14.672,1387,0.431146359048306,4782.76,0.0628975265017668
"E01013532",5,3.943,28.174,0.165,0.127,51.667,0.594,0.114,15.41,17.275,1515,0.433663366336634,3695.12,0.0449362843729041
"E01013533",34,3.929,62.894,0.38,0.264,84.787,1.814,0.403,19.915,18.481,1661,0.446116797110175,6644,0.052887537993921
"E01013534",15,4.478,21.793,0.126,0.099,32.028,0.667,-0.449,8.6,27.631,1668,0.428657074340528,6177.78,0.0544135429262395
"E01013535",25,3.541,56.462,0.377,0.233,80.472,1.135,0.681,22.325,10.665,1657,0.427881713940857,8721.05,0.0854489164086687
"E01013536",11,3.337,56.256,0.34,0.232,83.693,1.317,0.551,21.517,23.851,1616,0.396039603960396,1756.52,0.0695924764890282
"E01013537",28,4.203,23.02,0.131,0.096,32.635,0.551,0.003,15.003,30.201,1587,0.429741650913674,4809.09,0.0501529051987768
"E01013538",3,3.755,39.782,0.211,0.16,55.892,1.206,0.124,11.647,48.549,1506,0.413014608233732,1132.33,0.0578186596583443
"E01013539",105,4.895,2.905,0.031,0.034,1.677,-0.797,-2.022,18.668,1.443,2642,0.383800151400454,6144.19,0.490710823909531
"E01013540",31,4.626,9.255,0.054,0.057,3.619,-0.096,-0.987,27.046,10.487,1568,0.46109693877551,2375.76,0.251604621309371
"E01013541",50,4.971,16.601,0.147,0.088,13.309,0.039,-0.619,24.531,2.632,1624,0.370073891625616,2255.56,0.303384615384615
"E01013542",155,2.807,19.514,0.107,0.106,10.187,0.377,-0.492,26.982,27.115,1911,0.424908424908425,1769.44,0.247690531177829
"E01013543",186,2.988,6.004,0.026,0.036,2.796,-0.182,0.149,17.225,7.55,1766,0.459229898074745,3098.25,0.211453744493392
"E01013544",180,4.047,5.223,0.031,0.03,1.307,-0.522,-1.172,29.58,2.897,1836,0.450435729847495,1684.4,0.329718004338395
"E01013545",74,3.404,17.171,0.115,0.118,7.327,0.321,-0.823,21.242,12.019,1770,0.445762711864407,3277.78,0.262006079027356
"E01013546",155,3.442,8.783,0.071,0.059,4.454,-0.311,-0.138,8.374,16.131,1605,0.466043613707165,4223.68,0.268612269207862
"E01013547",127,1.102,29.943,0.121,0.09,31.085,1.072,0.627,20.083,52.088,1823,0.236972024136039,9594.74,0.0980615735461802
"E01013548",61,0.897,28.34,0.158,0.12,43.667,0.936,0.271,13.362,21.409,1684,0.468527315914489,4210,0.0668431502316347
"E01013549",24,1.827,31.43,0.142,0.134,46.571,0.815,0.208,31.538,22.994,1398,0.463519313304721,2912.5,0.050314465408805
"E01013550",97,1.223,42.74,0.271,0.163,67.753,0.911,0.467,28.327,16.653,1227,0.383048084759576,5577.27,0.0734949179046129
"E01013551",76,1.393,19.494,0.076,0.042,32.57,0.321,0.466,22.174,39.21,1880,0.175,13428.57,0.108742004264392
"E01013552",84,1.163,36.76,0.231,0.188,49.287,1.164,-0.014,15.916,10.727,1682,0.466111771700357,4545.95,0.0658288450029922
"E01013553",128,1.43,27.459,0.149,0.13,46.022,0.543,-0.137,21.305,21.312,1534,0.439374185136897,4648.48,0.0403225806451613
"E01013554",95,1.621,33.189,0.189,0.117,35.124,1.071,0.404,20.345,42.571,1645,0.257142857142857,7833.33,0.117216117216117
"E01013555",49,1.56,22.637,0.124,0.095,36.181,0.221,0.108,24.216,23.08,1847,0.42284786139686,3551.92,0.0496083550913838
"E01013556",50,3.866,4.891,0.031,0.038,5.011,-0.147,-1.359,16.995,6.849,1379,0.493110949963742,4925,0.0832167832167832
"E01013557",84,3.209,4.655,0.032,0.053,3.222,-0.187,-0.933,7.299,4.116,1340,0.567910447761194,3722.22,0.0325144508670521
"E01013558",44,2.99,11.006,0.074,0.059,10.23,-0.21,-0.102,22.657,8.554,2582,0.413632842757552,2506.8,0.128066732090285
"E01013559",71,3.695,6.015,0.04,0.039,8.277,-0.261,-1.12,11.359,18.289,1369,0.492330168005844,5952.17,0.060672514619883
"E01013560",116,3.886,3.795,0.03,0.044,3.055,-0.475,-1.161,13.462,5.069,1456,0.453983516483517,3466.67,0.12856196156395
"E01013561",137,3.564,5.958,0.037,0.05,7.236,-0.174,-0.895,5.216,13.728,1536,0.503255208333333,3938.46,0.0489060489060489
"E01013562",67,4.231,12.969,0.114,0.083,4.09,0.407,-0.969,12.282,5.914,1314,0.56544901065449,3285,0.0463432295438089
"E01013563",72,4.331,6.426,0.044,0.047,7.959,-0.05,-1.153,14.221,7.733,1321,0.443603330809992,5080.77,0.0574374079528719
"E01013564",81,3.077,4.219,0.034,0.034,3.792,-0.729,-1.643,23.325,3.28,1893,0.450607501320655,1855.88,0.0785
"E01013565",17,3.381,35.001,0.241,0.134,53.351,0.174,0.148,21.183,42.319,1854,0.419093851132686,13242.86,0.690517742873764
"E01013566",0,3.56,56.431,0.352,0.187,90.472,1.189,0.834,24.458,33.786,2242,0.3978590544157,13188.24,0.722139673105498
"E01013567",2,3.932,47.86,0.315,0.168,69.765,1.032,0.245,22.462,40.878,2240,0.385714285714286,16000,0.736894164193867
"E01013568",0,3.781,47.078,0.295,0.166,72.146,0.763,0.607,21.464,44.298,2213,0.401717126073204,7631.03,0.67409200968523
"E01013569",35,4.446,38.979,0.252,0.131,64.614,0.573,0.65,18.014,37.257,1587,0.401386263390044,6900,0.705249841872233
"E01013570",23,4.082,42.011,0.271,0.147,68.062,0.513,0.377,22.192,43.175,2191,0.417617526243724,9959.09,0.582993890020367
"E01013571",18,4.467,42.294,0.238,0.148,53.382,1.144,1.05,20.503,39.056,2112,0.456912878787879,5028.57,0.393382352941177
